sku_id,title,sector,lowest_price,brand_name,category,sub_category,product_type,gender,description,tags,featured_image
NFAICCKS331,AI - Crew Length Socks,apparel,399,NoFoMo,daily essentials,socks,socks,,"Description: You just found your favourite socks! Our AI design will make any outfit look cooler. Made of breathable cotton and reinforced at the toe and heel, our socks are perfect for all occasions. Note: Proudly Made In INDIA","['Crew Length', 'socks']",https://cdn.shopify.com/s/files/1/0676/7689/7585/files/MG_8661-1.jpg?v=1760426821&width=800
PMUMYUOON947,Myugen Club Polo Sweatshirt Maroon Timeless Winterwear Exclusive,apparel,0,myugen,Apparel,shirts,Sweatshirt,,"A nod to classic collegiate style with a modern edge. This piece features a structured collar and a bold varsity-inspired chest graphic that represents the Myugen club spirit. Designed for everyday comfort with a polished, elevated look. Perfect for anyone who values culture, creativity, and quiet confidence. Wear it as a statement of belonging to something bigger. Specs: Fabric: 320 GSM, premium heavy cottonFit: Oversized, drop shoulderPrint: EmbroideryColor: Maroon","['shirt', 'shirts', 'tops']",https://cdn.shopify.com/s/files/1/0781/5498/9816/files/Myugen_Club_Polo_Sweatshirt_Maroon_1_8a6d4c47-5413-4775-bbc2-7083618b4e62.png?v=1763934096&width=800
PMUMYUKET945,Myugen Cultured Society Green Black Varsity Jacket,apparel,0,myugen,Apparel,jackets,Jacket,,"A statement piece built for those who lead with ambition and create with purpose. This varsity jacket features a rich blend of detailed appliqués and embroidery, showcasing the spirit of the Myugen Cultured Society. Each element — from heritage-inspired patches to bold iconography — is crafted to celebrate creators who rise above the ordinary. Designed with a premium build, structured form, and meticulous finishes, it delivers both presence and authenticity. A standout outerwear essential for anyone who lives by craft, culture, and legacy. Specs: Fabric: 70% Wool, 30% PolyesterLining: 55% Polyester, 45% BembergFilling: 100% PolyesterFit: Oversized, drop shoulderPrint: EmbroideryColor: Green","['winter', 'outerwear', 'jackets', 'jacket']",https://cdn.shopify.com/s/files/1/0781/5498/9816/files/MyugenCulturedSocietyGreenBlackVarsityJacket_1.png?v=1764525301&width=800
PMUMYURAY729,Myugen Club Polo Sweatshirt Dark Gray Timeless Winterwear Exclusive,apparel,0,myugen,Apparel,shirts,Sweatshirt,,"A nod to classic collegiate style with a modern edge. This piece features a structured collar and a bold varsity-inspired chest graphic that represents the Myugen club spirit. Designed for everyday comfort with a polished, elevated look. Perfect for anyone who values culture, creativity, and quiet confidence. Wear it as a statement of belonging to something bigger. Specs: Fabric: 320 GSM, premium heavy cottonFit: Oversized, drop shoulderPrint: EmbroideryColor: Dark Gray","['shirt', 'shirts', 'tops']",https://cdn.shopify.com/s/files/1/0781/5498/9816/files/Myugen_Club_Polo_Sweatshirt_Dark_Gray_1.png?v=1763819168&width=800
PMUMYULUE233,Myugen Club Polo Sweatshirt Sky Blue Timeless Winterwear Exclusive,apparel,0,myugen,Apparel,shirts,Sweatshirt,,"A nod to classic collegiate style with a modern edge. This piece features a structured collar and a bold varsity-inspired chest graphic that represents the Myugen club spirit. Designed for everyday comfort with a polished, elevated look. Perfect for anyone who values culture, creativity, and quiet confidence. Wear it as a statement of belonging to something bigger. Specs: Fabric: 320 GSM, premium heavy cottonFit: Oversized, drop shoulderPrint: EmbroideryColor: Sky Blue","['shirt', 'shirts', 'tops']",https://cdn.shopify.com/s/files/1/0781/5498/9816/files/Myugen_Club_Polo_Sweatshirt_Sky_Blue_1_bbbf2642-455c-408a-80d2-110c4ceea175.png?v=1763936299&width=800
BFEOFGOESTESTLI,Essentials Tee SS22 - Stretch Limo,apparel,2735,fear of god,clothing set,co-ord set,,male,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['activewear set', 'outfit', 'co-ord set', 'bestseller']",https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/073/921/820/original/986351_01.jpg.jpeg?action=crop&width=850
PMUMYUKET237,Myugen Cultured Society Red White Varsity Jacket,apparel,0,myugen,Apparel,jackets,Jacket,,"A statement piece built for those who lead with ambition and create with purpose. This varsity jacket features a rich blend of detailed appliqués and embroidery, showcasing the spirit of the Myugen Cultured Society. Each element — from heritage-inspired patches to bold iconography — is crafted to celebrate creators who rise above the ordinary. Designed with a premium build, structured form, and meticulous finishes, it delivers both presence and authenticity. A standout outerwear essential for anyone who lives by craft, culture, and legacy. Specs: Fabric: 70% Wool, 30% PolyesterLining: 55% Polyester, 45% BembergFilling: 100% PolyesterFit: Oversized, drop shoulderPrint: EmbroideryColor: Red","['winter', 'outerwear', 'jackets', 'jacket']",https://cdn.shopify.com/s/files/1/0781/5498/9816/files/Myugen_Cultured_Society_Red_White_Varsity_Jacket_1.png?v=1764614697&width=800
PMUMYUPLE600,Myugen Club Polo Sweatshirt Purple Timeless Winterwear Exclusive,apparel,0,myugen,Apparel,shirts,Sweatshirt,,"A nod to classic collegiate style with a modern edge. This piece features a structured collar and a bold varsity-inspired chest graphic that represents the Myugen club spirit. Designed for everyday comfort with a polished, elevated look. Perfect for anyone who values culture, creativity, and quiet confidence. Wear it as a statement of belonging to something bigger. Specs: Fabric: 320 GSM, premium heavy cottonFit: Oversized, drop shoulderPrint: EmbroideryColor: Purple","['shirt', 'shirts', 'tops']",https://cdn.shopify.com/s/files/1/0781/5498/9816/files/Myugen_Club_Polo_Sweatshirt_Purple_1_c97f8955-48e0-48d7-95ab-6c2980ec2f87.png?v=1763934040&width=800
POLITE03F3E0,Polo Ralph Lauren cable knit knitted sweatshirt White,apparel,7980,polo ralph lauren,tops,sweater,clothing,male,,"['winter', 'sweater', 'sweaters', 'knitwear']",https://cdn.culture-circle.com/media/cc_images_url_creator/5%20Dec%202025/Untitled%20design%20-%202025-12-16T125748.837.png
FEAACKB108D2,Fear of God Essentials Fleece Hoodie (FW24) Black,apparel,3591,fear of god,tops,hoodie,,,,"['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://cdn.culture-circle.com/media/cc_images_url_creator/25%20NOV/Untitled%20design%20-%202025-11-27T163134.391.png
APPESPUHOAPLODASLSTLIBL,Essentials Hoodie SS22 - Stretch Limo,apparel,3876,fear of god,tops,hoodie,tops,male,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/081/484/185/original/1087105_01.jpg.jpeg?action=crop&width=1000
APPFEOFGOESHOPL,Essentials Hoodie SS23 - Plum,apparel,3990,fear of god,tops,hoodie,,male,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://cdn.culture-circle.com/media/cc_images_url_creator/12%20Dec%202025/30%20dec%202025/Untitled%20design%20-%202026-01-07T032556.503.png
POLACKD5EC55,Polo Ralph Lauren Cable Knit Sweater Black,apparel,10169,polo ralph lauren,tops,sweater,,,,"['winter', 'sweater', 'sweaters', 'knitwear', 'bestseller']",https://cdn.culture-circle.com/media/cc_images_url_creator/25%20NOV/28%20Nov/Untitled%20design%20-%202025-11-29T005440.767.png
ALLREY6A6B3A,ALL SAINTS ORLANDO SS CREW TRINITY GREY,apparel,0,all saints,one-piece,dress,clothing,male,,"['dresses', 'dress', 'one-piece']",https://media.i.allsaints.com/image/list/fn_select:jq:first%28.%5B%5D%7Cif%20has%28%22metadata%22%29%20then%20select%28any%28.metadata%5B%5D%3B%20.external_id%20%3D%3D%20%22sfcc-gallery-position%22%20
FEARAYD76D70,Fear of God Essentials Fleece Hoodie (FW24) Heather Gray,apparel,5130,fear of god,tops,hoodie,,,,"['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://images.stockx.com/images/Fear-of-God-Essentials-Fleece-Hoodie-FW24-Heather-Gray.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=41&dpr=3&trim=color&updated_at=1731586432
GOKEKECLTSHBLAPBL_G_FD65TS0024SO_99J,Kenzo Classic T-Shirt 'Black',apparel,2962,kenzo,tops,t shirt,tops,male,,"['t shirt', 't-shirt', 'tees', 'tops', 'bestseller']",https://image.goat.com/750/attachments/product_template_pictures/images/086/946/571/original/1180441_00.png.png
APPFEOFGOESSSTSPL,Essentials Tee SS23 - Plum,apparel,2787,fear of god,tops,t shirt,,male,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['t shirt', 't-shirt', 'tees', 'tops', 'bestseller']",https://sneakerplug.co.in/cdn/shop/files/teeplum.jpg?v=1683138726
GOATFEAAND259,Fear of God Essentials Fleece Hoodie II 'Desert Sand',apparel,4000,fear of god,tops,hoodie,,male,,"['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://cdn.culture-circle.com/media/cc_images_url_creator/25%20NOV/28%20Nov/Untitled%20design%20-%202025-11-29T004000.726.png
CABNGE0E81C8,Cable-Knit Cotton Quarter-Zip Jumper (Camel Melange),apparel,11400,polo ralph lauren,tops,sweater,clothing,male,,"['winter', 'sweater', 'sweaters', 'knitwear', 'bestseller']",https://cdn.culture-circle.com/media/cc_images_url_creator/2025/s7-1391853_lifestyle-removebg-preview.png
HWHASAVY529,HASHWAY CLASSIC POLO SWEATSHIRT - NAVY,apparel,2999,Hashway,tops,sweatshirt,Sweatshirt,,"The Hashway Classic Polo Sweatshirt defines effortless class.Made from 350 GSM fleece for unmatched comfort, it’s simple, timeless, and built to feel as good as it looks. A plain back with subtle Hashway branding on the front keeps it minimal yet distinct.Pure comfort. Pure class. Pure Hashway.",[],https://cdn.shopify.com/s/files/1/0857/7014/2016/files/polosweatshirt22front.png?v=1761652169&width=800
KENACK6EA6AB,Kenzo Lucky Tiger sweatshirt (black),apparel,7523,kenzo,tops,sweatshirt,clothing,male,,"['sweatshirt', 'winter', 'hoodies', 'sweatshirts', 'athletic', 'bestseller']",https://cdn.culture-circle.com/media/cc_images_url_creator/3%20nov/Untitled%20design%20-%202025-12-11T023704.319.png
FEARAY51418F,Fear of God Essentials Fleece Hoodie Light Heather Gray,apparel,4332,fear of god,tops,hoodie,,,,"['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://images.stockx.com/images/Fear-of-God-Essentials-Fleece-Hoodie-Light-Heather-Gray.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=41&dpr=3&trim=color&updated_at=1731586642
APPFEOFGOESHOOFBL,Fear of God Essentials Hoodie 'Off Black',apparel,5130,fear of god,tops,hoodie,tops,male,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/085/864/476/original/1161985_01.jpg.jpeg?action=crop&width=1000
APPFEOFGOESPUHOBL|STLI,Fear Of God Essentials PullOver Hoodie Black  Stretch Limo,apparel,3984,fear of god,tops,hoodie,tops,male,"Crafted with utmost precision, this unique attire blends time-honored designs with contemporary flair. The high-quality materials and eye-popping color palette, adorned with intricate details, are sure to make a bold statement. With Culture Circle's insider access, stay at the forefront of fashion and grab these pieces as they launch. Join the exclusive circle of connoisseurs who appreciate and own a piece of streetwear history.","['winter', 'hoodies', 'sweatshirts', 'athletic', 'hoodie', 'casual', 'bestseller']",https://cdn.culture-circle.com/products/appfeofgoespuhobl%7Cstli/appfeofgoespuhobl%7Cstli_photo1.png
PMUMYUACK592,Myugen Nike Bitches Acid Wash Oversized Hoodie Black,apparel,3599,Myugen,tops,hoodie,Hoodie,,"A loud statement piece built straight from sneaker culture. The back features bold typography and a classic high-top silhouette, calling out the fact that hype, attention, and status always orbit around the right pair on your feet. It’s playful, it’s blunt, and it doesn’t ask for permission. The front keeps it simple with “Classic is the new modern” for everyday wear when the flex doesn’t need volume. If you know the culture, you get it. Specs:Fabric: 420 GSM, premium heavy cottonFit: Oversized, drop shoulderPrint: High-definition DTF (Durable. Crisp. Fade-resistant.)Color: Acid Wash Black",[],https://cdn.shopify.com/s/files/1/0781/5498/9816/files/MygenNikeBitchesAcidWashOversizedHoodieBlack_1_e0c05a6d-1d58-4402-a53d-2cdc41dda94b.png?v=1766507121&width=800
